"Information: This spreadsheet contains a list of published ZooMS markers for different taxa. Note this is a ‘living’ document and will continue to be updated as new ZooMS data becomes available. Reference to the original publication reporting the marker can be found in the ‘Reference’ column and in the ‘Reference list’ tab. The nomenclature of markers include those proposed in Brown, S., Douka, K., Collins, M. & Richter, K. K. On the standardization of ZooMS nomenclature. J. Proteomics 104041 (2020). You are welcome to comment on this spreadsheet and share as widely as you like. Please contact Sam Presslee with any questions or comments: https://www.york.ac.uk/archaeology/centres-facilities/bioarch/facilities/zooms/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note about fish collagen: Some species contain an ɑ3 chain in addition to ɑ1 and ɑ2. This trait is unique but not ubiquitous to fishes. Fish collagen also contains slightly higher concentrations of R and K residues, which means that peptides homologous to mammalian peptides may be two tryptic peptides in fishes and one in mammals. For example, peptide ɑ2 793 (793 - 816) in black rat, Rattus rattus, is positioned at m/z 2143.1. In cod, this sequence is two tryptic peptides of m/z 1186 (ɑ2 793 - 806) and m/z 898 (ɑ2 807 - 816) (Virginia Harvey)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,peptide position,peptide position >,COL1ɑ1 508 - 519,COL1ɑ1 520 - 531,COL1ɑ3 839 - 847,COL1ɑ2 238 - 252,COL1ɑ1 688 - 704,COL1ɑ1 688 - 704,COL1ɑ3 746 - 762,COL1ɑ1 753 - 769,COL1ɑ2 889 -905,COL1ɑ2 502 - 519,COL1ɑ2 688 - 704,COL1ɑ2 907 - 924,COL1ɑ2 793 - 806,COL1ɑ2 807 - 816,COL1ɑ1 817 - 836,COL1ɑ1 817 - 836,COL1ɑ2 905-924,COL1ɑ2 905-924,COL1ɑ2 658 - 687,COL1ɑ2 625 - 648,COL1ɑ3 709 - 732,COL1ɑ2 713 - 736,COL1ɑ2 746 - 775,COL1ɑ1 934 - 963,COL1ɑ1 934 - 963,COL1ɑ1 1111 - 1140,COL1ɑ2 674 - 706,COL1ɑ2 757 - 789,COL1ɑ2 757 - 789,,,
Order,Family,Common name,Species,ɑ1 508,ɑ1 520,ɑ3 839,ɑ2 238,ɑ1 688,ɑ1 688 (+16),ɑ3 746,ɑ1 753,ɑ2 889,ɑ2 502,ɑ2 688,ɑ2 907,ɑ2 793,ɑ2 807,ɑ1 817,ɑ1 817 (+16),ɑ2 905,ɑ2 905 (+16),ɑ2 658,ɑ2 625,ɑ3 709,ɑ2 713,ɑ2 746,ɑ1 934,ɑ1 934 (+16),ɑ1 1111,ɑ2 674,ɑ2 757,ɑ2 757 (+16),Additional peaks,Reference,Notes
Cypriniformes,Cyprinidae,Goldfish,Carassius auratus,994,,,1294,1427,1443,,,,1461,,,1200,894,1826,1842,,,,2170,,,,2674,2690,,,,,,Harvey et al 2018,
Cypriniformes,Cyprinidae,Crucian carp,Carassius carassius,994,,,1294,1427,1443,,,,1534,,,1262,910,1816,1832,,,,2138,,,,2674,2690,,,,,,Harvey et al 2018,
Perciformes,Percidae,Pike perch,Sander lucioperca,996,,,1350,1443,,,,,1534,,,,,1790,1806,,,,2100,,,,,,,,,,,Harvey et al 2018,
Gadiformes,Gadidae,Atlantic cod,Gadus morhua,996,1083,,1293,1469,,,,,1569,,,1186,898,1766,1782,,,,2083,,,,2670,2686,,,,,,Harvey et al 2018,
Esociformes,Esocidae,Northern pike,Esox lucius,1010,,,1339,1459,,,,,1554,,,1260,882,1784,1800,,,,2213,,,,2663,2679,,,,,,Harvey et al 2018,
Salmoniformes,Salmonidae,Atlantic salmon,Salmo salar,1010,1026,,1339,1443,,,,,1515,,,1220,882,1774,1790,,,,2137,2174,2148,2456,2612,2628,,,2967,2983,,"Harvey et al 2018, Korzow Richter et al 2020",
Salmoniformes,Salmonidae,Brown trout/river trout,Salmo trutta (trutta and fario),1010,996,,1339,1443,,,,,1515,,,1220,882,1774,1790,,,,2137,,,,2612,2628,,,,,,Harvey et al 2018,
Pleuronectiformes,Scophthalmidae,Brill,Scophthalmus rhombus,1010,,,1335,1485,,,,,,,,,,1774,1790,,,,2137,,,,2665,2681,,,,,1239,Harvey et al 2018,
Pleuronectiformes,Scophthalmidae,Turbot,Scophthalmus maximus,1010,,,1335,1485,,,,,,,,,,1774,1790,,,,2137,,,,2665,2681,,,,,1223,Harvey et al 2018,
Siluriformes,Siluridae,Wels catfish,Silurus glanis,1052,,,1278,1427,1443,,,,1534,,,1269,910,1796,1812,,,,2065,,,,2690,2706,,,,,,Harvey et al 2018,
Scombriformes,Scombridae,Longfin tuna,Thunnus alalunga,,,,,1443,,,,,,,1600,,,,,,,,,,,,,,,,,,,Rick et al 2019,
Scombriformes,Scombridae,Atlantic Bluefin tuna,Thunnus thynnus,,,,,1443,,,,,,,1600,,,,,,,,,,,,,,,,,,,Rick et al 2019,
Scombriformes,Scombridae,Yellowfin tuna,Thunnus albacares,,,,,1443,,,,,,,1600,,,,,,,,,,,,,,,,,,,Rick et al 2019,
Istiophoriformes,Xiphidae,Swordfish,Xiphias gladius,,,,,1469,,,,,,,1596,,,,,,,2462,,,,,,,,,,,,Rick et al 2019,
Istiophoriformes,Istiophoridae,Striped marlin,Kajikia audax,,,,,1469,,,,,,,1600,,,,,,,2454,,,,,,,,,,,,Rick et al 2019,
Istiophoriformes,Istiophoridae,White marlin,Kajikia albida,,,,,1469,,,,,,,1600,,,,,,,2454,,,,,,,,,,,,Rick et al 2019,
Istiophoriformes,Istiophoridae,Atlantic blue marlin,Makaira nigricans,,,,,1469,,,,,,,1596,,,,,,,2440,,,,,,,,,,,,Rick et al 2019,
Istiophoriformes,Istiophoridae,Indo-Pacific sailfish,Istiophorus platypterus,,,,,1469,,,,,,,1596,,,,,,,2440,,,,,,,,,,,,Rick et al 2019,
Salmoniformes,Salmonidae,Chinook salmon,Oncorhynchus tshawytscha,,996,,,,,,,,,,,,,,,1874,1890,,,2202,,2456,,,2699,2881,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Sockeye salmon,Oncorhynchus nerka,,996,,,,,,,,,,,,,,,1890,,,,2202,2122,,,,2669,2881,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Coho salmon,Oncorhynchus kisutch,,996,,,,,,,,,,,,,,,1874,1890,,,2202,,2456,,,2669,2881,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Pink salmon,Oncorhynchus gorbuscha,,996,,,,,,,,,,,,,,,1874,1890,,,2142,2152,,,,2669,2881,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Chum salmon,Oncorhynchus keta,,996,,,,,,,,,,,,,,,1874,1890,,,2202,2122,,,,2669,2922,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Rainbow trout,Oncorhynchus mykiss,,996,,,,,,,,,,,,,,,1874,,,,2202,2148,2456,,,2669,2922,2933,2949,,Korzow Richter et al 2020,
Anguilliformes,Anguillidae,European eel,Anguilla anguilla,,,908,,,,1457,1443,1457,1580,1536,,,,,,,,2480,,,,,,,,,,,,Buckley et al 2022,
